,cannonsville,neversink,pepacton,fewalter,beltzvilleCombined
1983-10-01,29.5800764834749,15.248762557495432,33.89896227343445,45.94614990476992,13.199415508676017
1983-10-02,29.82129538002295,15.81735499517563,36.962947821335405,48.18641306148718,13.890828252597935
1983-10-03,28.132980720758106,15.680910053105489,32.275777432870235,46.70193611574496,13.197320725912178
1983-10-04,27.569914831443548,14.630411988752881,34.16298883985094,45.21580029792831,12.504709429272017
1983-10-05,27.64984263976162,13.627414844138604,40.749799088699454,43.712414604366515,12.508785136046603
1983-10-06,30.46358650679331,13.876375827328586,68.06035925908344,43.698096731311715,13.203717643604747
1983-10-07,32.71540473183613,13.234170857159961,57.3534180695313,42.20266016959415,12.508785136046603
1983-10-08,31.269306536654533,12.319083172787211,48.386884499386426,43.68345526326412,12.508785136046603
1983-10-09,28.7770788001621,11.667195945879898,42.960730249024,48.894662197825255,12.510878913296938
1983-10-10,26.927171369007134,11.573380766734084,39.50199999061308,46.69461562498319,12.510878913296938
1983-10-11,25.64000937384402,11.283947277054168,38.42703946554527,45.219334969213364,12.510878913296938
1983-10-12,26.121717092703012,12.39155308809387,38.44236196256368,63.099506852030416,24.265982461231168
1983-10-13,27.568600715389042,18.015632563759148,40.89049419141157,93.1499673276414,30.4187717399569
1983-10-14,87.64076357780905,34.10948284349429,81.5409943248193,290.9875729392436,26.913641929729195
1983-10-15,96.50996644788673,28.408529339888766,67.93217497665728,214.2319994285897,18.644537601335383
1983-10-16,65.39231253977353,21.03343579268257,55.57189479761236,142.474286952566,15.913271633430323
1983-10-17,53.40274267182415,17.77795377051523,51.557139873978116,105.57774552400531,14.559589476738703
1983-10-18,48.97157492151597,16.567041916891327,52.166412607951244,93.8551618838242,15.263087705668873
1983-10-19,47.19905381674124,24.83381441172517,63.99871762416612,207.01184350196405,39.39512995965214
1983-10-20,44.70473291574688,24.398067311033582,57.7158979302591,194.77465060926397,25.537464742619687
1983-10-21,42.21088728447006,20.503980278765443,52.393344827939245,145.91193673159466,20.005078786224885
1983-10-22,40.27989413783577,18.151203912327276,47.6957456357532,114.60526880313604,17.98345154066363
1983-10-23,40.118162272567304,19.05553936561305,49.22580912813992,118.0591477470755,31.10141838919905
1983-10-24,42.3693168247413,68.6270779685134,59.24489438906919,276.41073872192806,85.17672226645023
