site_no,long,lat,begin_date,end_date,geometry,comid,reachcode,comid-long,comid-lat
01476030,-75.3382448,39.89511225,1971-05-01,1978-09-29,POINT (-75.3382448 39.89511225),4494798,02040202000287,-75.33807013951476,39.894671892135825
01466500,-74.50527778,39.885,1953-10-01,2023-12-03,POINT (-74.50527778 39.885),4499256,02040202001971,-74.5056529644129,39.88497736377091
01466000,-74.5080556,39.91666667,1952-10-01,1977-06-19,POINT (-74.5080556 39.91666667),4492020,02040202000274,-74.50825382213581,39.917023875464345
01464290,-74.5361111,40.0361111,2020-12-04,2023-12-03,POINT (-74.5361111 40.0361111),4481663,02040201000043,-74.53584619857214,40.03665384397972
01464500,-74.6,40.1372222,1940-08-10,2023-12-03,POINT (-74.6 40.1372222),4481607,02040201000032,-74.6003455405763,40.1370985941922
01463587,-74.5608333,40.21666667,1976-09-24,1977-06-21,POINT (-74.5608333 40.21666667),2589881,02040105000991,-74.56077782659739,40.216799381645295
01463500,-74.7780556,40.22166667,1912-10-01,2023-12-03,POINT (-74.7780556 40.22166667),2590277,02040105001083,-74.77164704243381,40.215428849043484
01463620,-74.6719444,40.2697222,1972-09-22,2023-12-03,POINT (-74.6719444 40.2697222),2590117,02040105000008,-74.67237952706752,40.269817129366444
01460378,-74.8666667,40.29638889,2017-02-03,2023-12-03,POINT (-74.8666667 40.29638889),2590249,02040105001091,-74.86860126863381,40.2956678429029
01473169,-75.46074808,40.07927367,1982-10-01,2023-12-03,POINT (-75.46074808 40.07927367),4781877,02040203000511,-75.46098352127902,40.07934168409972
01472174,-75.63020309,40.08954825,1967-01-01,1983-10-17,POINT (-75.63020309 40.08954825),4781847,02040203000636,-75.62984465733614,40.08965012583439
01474500,-75.1885123,39.9678905,1931-10-01,2023-12-03,POINT (-75.1885123 39.9678905),4784831,02040203000001,-75.18763975478262,39.968457185484624
01467086,-75.1121191,40.04261157,1965-10-01,2023-12-03,POINT (-75.1121191 40.04261157),4489180,02040202000149,-75.1124652520078,40.04220956756816
01465798,-74.9851694,40.05705567,1965-07-01,2023-12-03,POINT (-74.9851694 40.05705567),4488242,02040202001411,-74.98417966070967,40.056730667444945
01467084,-75.1504532,40.08177746,1971-05-01,1978-09-29,POINT (-75.1504532 40.08177746),4489024,02040202000151,-75.13157874720066,40.080821140199376
01465790,-74.9821135,40.08177749,1965-06-01,1978-10-19,POINT (-74.9821135 40.08177749),4488232,02040202001418,-74.98255793910968,40.08170391580102
01467045,-75.0590608,40.0845552,1964-10-01,1970-09-29,POINT (-75.0590608 40.0845552),4489178,02040202001383,-75.0592756880148,40.08426422546802
01467083,-75.13517478,40.08566628,1973-10-01,1978-09-29,POINT (-75.13517478 40.08566628),4489024,02040202000151,-75.13492239418298,40.08549923465625
