site_no,long,lat,begin_date,end_date,geometry,comid,reachcode,comid-long,comid-lat
014806318,-75.8332776,39.9073296,1997-08-15,1998-10-29,POINT (-75.8332776 39.9073296),4651858,02040205000224,-75.83303247818527,39.90728426269912
01480629,-75.82300028,39.9295515,2020-02-14,2023-12-03,POINT (-75.82300028 39.9295515),4651854,02040205000095,-75.82273428470037,39.9294340289563
01480617,-75.8013341,39.9617734,1970-01-01,2023-12-03,POINT (-75.8013341 39.9617734),4650580,02040205000082,-75.80083010395427,39.96174365285881
01480500,-75.8274467,39.98566144,1943-10-01,2023-12-03,POINT (-75.8274467 39.98566144),932040162,02040205000083,-75.82747106759435,39.98525727024873
01480400,-75.8449449,40.0273261,1995-02-01,2023-12-03,POINT (-75.8449449 40.0273261),4648544,02040205000769,-75.84452173723008,40.02719719623617
01480300,-75.8607744,40.07287916,1960-06-01,2023-12-03,POINT (-75.8607744 40.07287916),4648694,02040205000089,-75.86069668212882,40.07227685883363
01480650,-75.8452155,40.09871135,1966-12-01,1968-09-29,POINT (-75.8452155 40.09871135),4648684,02040205000064,-75.84507156714378,40.09904596670634
01471710,-75.79241789,40.3306487,1981-10-01,1982-09-30,POINT (-75.79241789 40.3306487),4780991,02040203001110,-75.7929771235466,40.33054938623694
01471510,-75.9368333,40.3353611,1914-10-01,2023-12-03,POINT (-75.9368333 40.3353611),4782313,02040203000136,-75.93707769243248,40.33495437944677
01471500,-75.93715348,40.3362038,1914-10-01,1930-09-29,POINT (-75.93715348 40.3362038),4782313,02040203000136,-75.93740105253862,40.33637585417846
01470853,-76.1432785,40.34009236,1982-10-01,2005-09-29,POINT (-76.1432785 40.34009236),4783303,02040203000467,-76.14349363170585,40.34038155873093
01471700,-75.8060303,40.34314876,1981-10-01,1982-09-30,POINT (-75.8060303 40.34314876),4781023,02040203000386,-75.80586443734009,40.342777069459146
01471000,-75.9791015,40.36898166,1950-10-01,2023-12-03,POINT (-75.9791015 40.36898166),4782017,02040203000224,-75.97901379247975,40.36936297841058
01470960,-76.0252159,40.3706482,1965-05-01,2023-12-03,POINT (-76.0252159 40.3706482),4783213,02040203000226,-76.02448690287167,40.370911590023866
01470761,-75.9396944,40.42852778,2020-03-14,2023-12-03,POINT (-75.9396944 40.42852778),4780611,02040203000140,-75.9399146466958,40.42853086395607
01470756,-75.8829816,40.5142605,1973-01-19,1995-09-29,POINT (-75.8829816 40.5142605),4779053,02040203000144,-75.88268077352191,40.51381361679274
01470500,-75.99826819,40.5225932,1947-08-01,2023-12-03,POINT (-75.99826819 40.5225932),4779167,02040203001380,-75.99788054519361,40.52219271196596
01470755,-75.8749251,40.52537159,2012-03-23,2023-12-03,POINT (-75.8749251 40.52537159),4779053,02040203000144,-75.87503924153523,40.52518304883533
01470720,-75.8757575,40.573149,1965-10-01,1981-04-10,POINT (-75.8757575 40.573149),4778989,02040203001071,-75.87664345746606,40.57310879704524
01469000,-76.0885495,40.6014805,1948-10-01,1951-06-30,POINT (-76.0885495 40.6014805),4779667,02040203000205,-76.08821133152382,40.601526647291216
01468500,-76.1246622,40.6292577,1947-10-01,2023-12-03,POINT (-76.1246622 40.6292577),4779603,02040203000934,-76.1235398223755,40.629054229385204
01470000,-76.01354379,40.6428691,1947-10-01,1965-09-29,POINT (-76.01354379 40.6428691),4779567,02040203000175,-76.0139449999571,40.64280370396328
01470779,-76.1716128,40.4134258,1974-11-22,2023-12-03,POINT (-76.1716128 40.4134258),4783101,02040203000241,-76.17139538967656,40.413260539562316
