,nhru_v1_1,reachcode,comid,geometry
2784,2028,02040205000066,4651852,POINT (-75.6496235925714 39.92311827112146)
3207,2017,02040205000217,4650698,POINT (-75.6803059924341 39.931962871413475)
2836,2015,02040205000216,4650688,POINT (-75.67974119287489 39.93200900450339)
2088,2016,02040205000069,4650692,POINT (-75.67974119287489 39.93200900450339)
3206,2014,02040205000082,4650580,POINT (-75.80014919344855 39.96147260437009)
3211,2012,02040205000049,4650548,POINT (-75.67322959289982 39.968306404517485)
3210,2008,02040205000053,4648568,POINT (-75.70609272619836 40.02111387165114)
1379,2011,02040205000086,4648708,POINT (-75.84364912601515 40.026266070952225)
3205,2007,02040205000769,4648544,POINT (-75.84364912601515 40.026266070952225)
3209,2005,02040205000695,4648506,POINT (-75.71907692641285 40.049799204466716)
1502,2006,02040205000057,4648508,POINT (-75.71907692641285 40.049799204466716)
3204,2010,02040205000089,4648694,POINT (-75.84228532577 40.0696738043328)
3208,2009,02040205000702,4648686,POINT (-75.73475272680113 40.097930270996144)
2035,2321,02040203000097,4782503,POINT (-75.50944659382101 40.136386471090695)
1132,2322,02040203000252,4782505,POINT (-75.50944659382101 40.136386471090695)
3175,2305,02040203000255,4782153,POINT (-75.576039793643 40.13799980465614)
1634,2297,02040203000256,4781647,POINT (-75.60298899253317 40.15098180436868)
3174,2319,02040203000102,4782441,POINT (-75.60674219330548 40.23675720451171)
2567,2317,02040203000103,4782395,POINT (-75.65864639284754 40.242319471142565)
2223,2318,02040203000123,4782429,POINT (-75.65864639284754 40.242319471142565)
3173,2293,02040203000106,4781199,POINT (-75.66830092661178 40.26735267100789)
3171,2316,02040203000136,4782313,POINT (-75.93784579229062 40.32965547026972)
3172,2291,02040203000113,4780921,POINT (-75.73822819283195 40.33489967066107)
3168,2334,02040203000467,4783303,POINT (-76.14353272541678 40.34042520388655)
2684,2315,02040203000222,4782309,POINT (-75.95047799224177 40.34498187022697)
2273,2314,02040203000137,4782307,POINT (-75.95047799224177 40.34498187022697)
3170,2301,02040203000224,4782017,POINT (-75.96668892590336 40.35835040405066)
2442,2309,02040203008975,4782255,POINT (-75.5087879264864 40.36936187028181)
3169,2333,02040203000226,4783213,POINT (-76.00765652603526 40.37295407088531)
3177,2290,02040203000542,4780787,POINT (-75.5191899930856 40.375029603768084)
2205,2337,02040203000242,4783475,POINT (-76.17599572560287 40.38610087057614)
3176,2289,02040203000088,4780723,POINT (-75.51108459320183 40.391475070933645)
1349,2336,02040203009023,4783453,POINT (-76.05433539231677 40.395389403929485)
2801,2335,02040203009025,4783445,POINT (-76.05433539231677 40.395389403929485)
3167,2332,02040203000241,4783101,POINT (-76.16681792606613 40.41723047055322)
1941,2312,02040203000139,4782271,POINT (-75.94935712602302 40.42321187037367)
1962,2313,02040203000159,4782273,POINT (-75.94935712602302 40.42321187037367)
1306,2288,02040203000139,4780625,POINT (-75.94905432567747 40.423600403569885)
3164,2311,02040203000160,4782265,POINT (-75.9511065926717 40.42394060401101)
2389,2331,02040203000237,4783069,POINT (-76.1120919918616 40.42536240409982)
1320,2330,02040203000229,4783025,POINT (-76.1120919918616 40.42536240409982)
3166,2279,02040203000144,4779053,POINT (-75.88252992557689 40.51395807027586)
3165,2280,02040203001380,4779167,POINT (-75.999657325642 40.51950220335636)
1729,1702,02040106000324,4187851,POINT (-75.52106792678323 40.536886270839354)
1385,2278,02040203000146,4779015,POINT (-75.8798633260099 40.54244566995346)
1919,2286,02040203000166,4779719,POINT (-76.02638019298044 40.57862767054094)
1162,2287,02040203000199,4779859,POINT (-76.02638019298044 40.57862767054094)
1591,2284,02040203000203,4779701,POINT (-76.08162232620876 40.58696587044252)
1993,2285,02040203001016,4779703,POINT (-76.08162232620876 40.58696587044252)
1364,1494,02040105000032,2590201,POINT (-74.94789232798257 40.362873870897616)
2361,2310,02040203008977,4782257,POINT (-75.5087879264864 40.36936187028181)
3178,2300,02040203000064,4782009,POINT (-75.25595572755783 40.393419470656106)
2199,1505,02040105000045,2591449,POINT (-75.01311032684372 40.40642847045808)
2285,1503,02040105001075,2591435,POINT (-75.06092819388009 40.42133400375174)
1608,1504,02040105000220,2591437,POINT (-75.06092819388009 40.42133400375174)
2495,1502,02040105000220,2591241,POINT (-75.06488299443106 40.422435604201965)
3142,1501,02040105000223,2591219,POINT (-75.11203939429716 40.432770270858484)
1446,1500,02040105000235,2591187,POINT (-75.23916072753129 40.44994380381587)
2083,1491,02040105001094,2588489,POINT (-75.09256652698114 40.561060403862804)
3141,1490,02040105000054,2588481,POINT (-75.19572232717032 40.57958600326105)
3131,1707,02040106000322,4188011,POINT (-75.49012312707524 40.58890727021819)
1051,1488,02040105000055,2588477,POINT (-75.19047119406275 40.591515204139974)
1512,1489,02040105000077,2588479,POINT (-75.19047119406275 40.591515204139974)
3140,1480,02040105000055,2588261,POINT (-75.18939499354386 40.59238280396842)
1615,1722,02040106000004,4188283,POINT (-75.44838919401762 40.59782560336188)
1333,1723,02040106000116,4188285,POINT (-75.44838919401762 40.59782560336188)
3134,1706,02040106000118,4188007,POINT (-75.461143992841 40.600992070014264)
3132,1701,02040106000321,4187763,POINT (-75.461143992841 40.600992070014264)
3135,1708,02040106000832,4188017,POINT (-75.37285252660742 40.61628866981265)
3136,1719,02040106000002,4188273,POINT (-75.33619079363518 40.620585603425845)
2387,1478,02040105000056,2588051,POINT (-75.03826159342537 40.68353347050161)
2462,1487,02040105001038,2588457,POINT (-75.20318719416362 40.68915947059857)
3137,1718,02040106000001,4188251,POINT (-75.20318719416362 40.68915947059857)
2201,1698,02040106000833,4187645,POINT (-75.3643447935858 40.69102146989215)
1228,1486,02040105000096,2588411,POINT (-75.1190861931827 40.78861387022128)
3119,1485,02040105000097,2588381,POINT (-75.08418292761112 40.82390360349028)
1585,1484,02040105000141,2588375,POINT (-75.0839935938921 40.82797120363215)
1725,1477,02040105001816,2587861,POINT (-75.0833805937971 40.82873180301904)
1091,1475,02040105001816,2587857,POINT (-75.0670517275969 40.8309674697598)
3117,1472,02040105000103,2586809,POINT (-74.99903319447175 40.833135070483685)
1965,1467,02040105000106,2586349,POINT (-74.95162159360078 40.838897003208814)
1593,1476,02040105000101,2587859,POINT (-75.0504109942774 40.84164387030462)
3118,1479,02040105000257,2588225,POINT (-75.0504109942774 40.84164387030462)
3139,1471,02040105000069,2586799,POINT (-74.82233459470964 40.84561540291997)
3138,1470,02040105000076,2586785,POINT (-74.6839001281153 40.9101844029427)
1471,1483,02040105000217,2588313,POINT (-75.0882723271227 40.919641070075954)
2250,1482,02040105000146,2588311,POINT (-75.0882723271227 40.919641070075954)
967,1481,02040105000218,2588303,POINT (-75.09259352710723 40.922411803527055)
2315,1473,02040105000149,2587721,POINT (-75.05843579336364 40.95415707007632)
3115,1474,02040105000330,2587723,POINT (-75.05843579336364 40.95415707007632)
1720,1674,02040104000390,4154366,POINT (-75.28450832704536 40.95656300301899)
1137,2283,02040203000168,4779657,POINT (-76.03219892569638 40.60279420365868)
3133,1700,02040106000119,4187713,POINT (-75.59940512655908 40.62532247045804)
3162,2282,02040203000210,4779607,POINT (-76.12297952519786 40.62856900381758)
1644,1699,02040106000120,4187699,POINT (-75.6341853266577 40.649510070300444)
3161,2281,02040203000940,4779499,POINT (-76.18596672530487 40.67259400329878)
3130,1715,02040106000011,4188205,POINT (-75.60260372614131 40.75187280365897)
3129,1705,02040106000123,4187957,POINT (-75.61261719295777 40.792423603264744)
3163,2277,02040203000192,4778811,POINT (-75.96634839281356 40.79595460348221)
1913,1714,02040106000027,4188171,POINT (-75.67253499332068 40.815058869974095)
2763,1713,02040106000014,4188169,POINT (-75.67253499332068 40.815058869974095)
1902,1704,02040106000125,4187951,POINT (-75.5275293272211 40.81837706970119)
3125,1712,02040106000028,4188159,POINT (-75.69984919347988 40.825372403188304)
3128,1697,02040106000016,4187341,POINT (-75.64725839347327 40.844749403403135)
2067,1711,02040106008084,4188123,POINT (-75.57020292669738 40.87601480359363)
2104,1710,02040106008085,4188121,POINT (-75.57020292669738 40.87601480359363)
3126,1703,02040106000018,4187925,POINT (-75.5214229932836 40.89259706952502)
3127,1696,02040106000246,4187083,POINT (-75.55739939288034 40.918432003032386)
2679,1709,02040106000037,4188035,POINT (-75.71308592648211 40.98857486956882)
1233,1724,02040106000207,4188343,POINT (-75.71308592648211 40.98857486956882)
3124,1689,02040106000740,4186205,POINT (-75.57287619335283 41.02820140286258)
3116,1468,02040105000119,2586769,POINT (-74.80696559419897 40.96596366997246)
1824,1680,02040104016796,4154500,POINT (-75.1352281273833 40.97793766994131)
1845,1675,02040104000388,4154460,POINT (-75.19614979406428 40.980395869878734)
2019,1673,02040104000558,4154334,POINT (-75.19614979406428 40.980395869878734)
3114,1469,02040105000155,2586771,POINT (-74.95966799395812 40.98146606956904)
1054,1678,02040104008426,4154496,POINT (-75.1839681940161 40.98741920283814)
2825,1679,02040104008429,4154498,POINT (-75.1839681940161 40.98741920283814)
2327,1681,02040104000368,4158246,POINT (-75.13179239416182 40.990560803495555)
1951,1677,02040104000003,4154492,POINT (-75.13179239416182 40.990560803495555)
3111,1672,02040104000562,4154310,POINT (-75.25489979401738 40.9911328698763)
3112,1676,02040104000369,4154488,POINT (-75.13990199398428 40.9956244695831)
3108,1671,02040104000004,4153716,POINT (-75.10871779445685 41.003887203010684)
2143,1670,02040104000373,4153318,POINT (-75.2077805273443 41.034431869303994)
2081,1466,02040105000169,2583379,POINT (-74.84438952717953 41.04999786910697)
2506,1668,02040104000375,4153236,POINT (-75.21994539315091 41.067530803152394)
2368,1669,02040104000466,4153238,POINT (-75.21994539315091 41.067530803152394)
3106,1667,02040104000344,4153168,POINT (-75.03063539356695 41.08382620308052)
3109,1666,02040104000377,4153166,POINT (-75.21292332686477 41.08412500288193)
1986,1464,02040105000423,2583285,POINT (-74.69400959471784 41.086591403365965)
3113,1465,02040105001814,2583309,POINT (-74.69400959471784 41.086591403365965)
2494,1662,02040104000324,4151824,POINT (-74.99168592788251 41.09263040308597)
1689,1661,02040104001531,4151822,POINT (-74.99168592788251 41.09263040308597)
1006,1660,02040104000006,4151820,POINT (-74.9685679942786 41.096194802740015)
2085,1663,02040104001538,4151830,POINT (-74.9685679942786 41.096194802740015)
3110,1665,02040104000718,4153154,POINT (-75.27938552721584 41.096520603233465)
3107,1654,02040104000006,4151302,POINT (-74.96877039371525 41.097097403249)
1792,1688,02040106000076,4186169,POINT (-75.5018223264881 41.12165960280645)
2057,1651,02040104000018,4151032,POINT (-74.86316759382632 41.17051306972131)
1499,1664,02040104000356,4152932,POINT (-75.16029859371255 41.18386706917132)
3105,1659,02040104000050,4151628,POINT (-74.80349899383069 41.30501246919917)
3121,1687,02040106000063,4185837,POINT (-75.54086559266686 41.06364720290697)
1779,1685,02040106000070,4185789,POINT (-75.59388079327421 41.08083240306403)
1778,1686,02040106000055,4185805,POINT (-75.59388079327421 41.08083240306403)
3122,1684,02040106000053,4185779,POINT (-75.60521719291089 41.08996366965816)
3123,1695,02040106000047,4186403,POINT (-75.74444079303431 41.103525069940254)
2183,1693,02040106008101,4186383,POINT (-75.71853272670046 41.11751726989352)
1456,1694,02040106008100,4186385,POINT (-75.71853272670046 41.11751726989352)
1473,1692,02040106008094,4186353,POINT (-75.64930972650359 41.12194646936284)
2712,1691,02040106008105,4186351,POINT (-75.64930972650359 41.12194646936284)
3120,1683,02040106000091,4185679,POINT (-75.64911092610656 41.12311426953603)
1295,1690,02040106008187,4186247,POINT (-75.52560252607331 41.18257100299017)
1577,1682,02040104000056,4158256,POINT (-74.6957093942228 41.35691880264758)
3095,1658,02040104000171,4151524,POINT (-74.6957093942228 41.35691880264758)
2417,1657,02040104000057,4151516,POINT (-74.68641892725248 41.360414402392834)
1849,1597,02040103000075,2742850,POINT (-75.35142412709232 41.3636222689018)
2426,1598,02040103000430,2742870,POINT (-75.35142412709232 41.3636222689018)
1282,1596,02040103000074,2742844,POINT (-75.34698719375305 41.37073706890997)
1116,1656,02040104000232,4151468,POINT (-74.75456539468999 41.425281868920905)
1707,1655,02040104000175,4151446,POINT (-74.75456539468999 41.425281868920905)
1134,1650,02040104000084,4150304,POINT (-74.60380979508462 41.43682026902856)
3104,1653,02040104000087,4151216,POINT (-74.60186272841888 41.440434668772504)
1586,1648,02040104000089,4150228,POINT (-74.59301039512852 41.44965286899121)
894,1649,02040104000107,4150230,POINT (-74.59301039512852 41.44965286899121)
1125,1602,02040103004344,2743218,POINT (-75.18529352657279 41.4595448024173)
3094,1647,02040104000179,4150156,POINT (-74.75991799442733 41.46092486864329)
3092,1595,02040103000072,2742586,POINT (-75.15522019378876 41.47273540231296)
3091,1601,02040103000015,2743198,POINT (-75.17116212688344 41.47526940265773)
2238,1593,02040103000015,2742534,POINT (-75.15485659370798 41.475664002635156)
1138,1594,02040103000071,2742550,POINT (-75.15485659370798 41.475664002635156)
1696,1600,02040103000053,2743192,POINT (-75.18250552760742 41.47852700205679)
2610,1599,02040103000016,2743190,POINT (-75.18250552760742 41.47852700205679)
1761,1592,02040103000001,2741462,POINT (-74.9857381270219 41.486948668647315)
1415,1583,02040101001587,2619256,POINT (-74.9857381270219 41.486948668647315)
3103,1652,02040104000120,4151208,POINT (-74.64517392835172 41.49502466859312)
2740,1646,02040104001541,4149932,POINT (-74.55266272840281 41.49967046905428)
3086,1568,02040101000023,2615318,POINT (-74.98434392712849 41.50665286897373)
1715,1582,02040101000026,2617554,POINT (-75.02052832764288 41.55439840266648)
1563,1581,02040101000264,2617552,POINT (-75.02052832764288 41.55439840266648)
3090,1589,02040103000022,2739776,POINT (-75.24621772693786 41.560986602034696)
3085,1569,02040101000265,2617174,POINT (-75.01504212743643 41.56310406884602)
3088,1588,02040103000041,2739772,POINT (-75.32370599304197 41.58213306890861)
3089,1587,02040103000024,2739766,POINT (-75.2668673932501 41.6063926685273)
3102,1641,02040104000130,4147634,POINT (-74.61683052748374 41.624016801723556)
2492,1585,02040103000026,2739472,POINT (-75.26386419416401 41.633615601944406)
3087,1586,02040103000045,2739748,POINT (-75.36315532622545 41.647712602120095)
1578,1584,02040103000027,2739446,POINT (-75.2817991264439 41.65264300178812)
3093,1640,02040104000193,4147566,POINT (-74.78313772785692 41.66666966863762)
2282,1580,02040101000314,2617492,POINT (-75.0598605273229 41.67232760214718)
1362,1579,02040101000031,2617490,POINT (-75.0598605273229 41.67232760214718)
1272,1567,02040101000004,2615122,POINT (-74.99961012764658 41.72934760226913)
3084,1578,02040101000033,2617456,POINT (-75.054839126974 41.73752680164198)
3101,1639,02040104000136,4147458,POINT (-74.5950325277002 41.75273800195973)
1429,1576,02040101000001,2617440,POINT (-75.0603325940321 41.76407860198876)
2330,1577,02040101000034,2617442,POINT (-75.0603325940321 41.76407860198876)
