comid,site_no,lat,long
4779167,01470500,40.527237,-75.988785
4779499,01467500,40.685432,-76.18175
4780673,01471800,40.411797,-75.73351
4780723,01472198,40.39607,-75.52112
4780787,01472199,40.38208,-75.53621
4780921,01471875,40.342964,-75.74503
4781165,01472500,40.280354,-75.45626
4781199,01471980,40.27111,-75.679596
4781261,01472810,40.261272,-75.42436
4781731,01473900,40.124367,-75.21897
4781759,01473470,40.12421,-75.344574
4781877,01473169,40.07516,-75.46287
4782009,01472620,40.399075,-75.24225
4782017,01471000,40.369503,-75.97557
4782107,01473000,40.22743,-75.45237
4782141,01473120,40.163456,-75.43601
4782153,01472157,40.143093,-75.592606
4782187,01474000,40.025387,-75.19532
4782313,01471510,40.338703,-75.94122
4782441,01472000,40.231365,-75.62423
4783101,01470779,40.407417,-76.16952
4783213,01470960,40.367218,-76.02062
4783303,01470853,40.33512,-76.145836
4784831,01474500,39.981693,-75.20301
8074660,01483700,39.157646,-75.5177
8075192,01483500,39.23208,-75.63286
8076762,01484000,38.976913,-75.56227
8077030,01484100,38.897797,-75.52904
8077194,01484300,38.814754,-75.33157
9481686,01411456,39.65221,-75.068
9481992,01482500,39.6443,-75.32747
9482230,01483000,39.5644,-75.356026
9483432,01412000,39.40686,-74.976746
9484462,01412800,39.474533,-75.25415
9485398,01411500,39.495094,-75.07586
932040162,01480500,39.98371,-75.82605
932040163,01467471,40.71429,-76.18558
