,nhm_id,reachcode,comid,long,lat
0,2694,02040207000054,8077030,-75.50975412632691,38.90941427305429
1,2692,02040207000096,8076762,-75.55697339359445,38.97850620658034
2,2696,02040207000094,8077776,-75.52987479284248,38.981234673214885
3,2697,02040207001323,8077930,-75.16134532722131,38.789454806255826
4,2698,02040207001114,8078046,-75.22460732687354,38.80969187308018
5,2695,02040207000237,8077194,-75.31995199390747,38.820118406338075
6,2699,02040207001126,8080210,-75.31371112628653,38.95044820636787
7,2693,02040207000035,8076836,-75.36775099328624,38.95625480619812
8,2691,02040207001118,8075808,-75.39269752629376,39.05031527253125
9,2690,02040207001080,8075804,-75.39605959292972,39.05851600600678
10,2689,02040207000107,8075784,-75.40171072709853,39.066179805883046
11,2688,02040207010319,8075756,-75.49405919331878,39.124981072770055
12,3574,02040206001801,9486502,-75.03117659434429,39.215360405947564
13,3573,02040206002444,9486302,-74.99962019419475,39.261556605365605
14,4205,02040204028908,24903800,-75.3490497939175,39.26554447261438
15,4204,02040204028903,24903778,-75.39815499396526,39.31749960558334
16,4202,02040204028900,24903746,-75.43739012645729,39.357235205358315
17,4231,02040204028913,25039924,-75.43739012645729,39.357235205358315
18,4201,02040204028898,24903740,-75.4556997266053,39.37703460553119
19,4230,02040206002453,25039918,-75.4556997266053,39.37703460553119
20,3572,02040206001810,9486118,-75.31668799408651,39.390417805353025
21,4200,02040206002392,24903694,-75.47202432689552,39.396484272137904
22,4198,02040204028894,24903672,-75.47202432689552,39.396484272137904
23,4199,02040206002391,24903688,-75.44663272675643,39.43550400508732
24,3569,02040206000055,9484602,-75.07096392704732,39.439233871834524
25,3568,02040206000056,9484562,-75.07284599370152,39.44880180563151
26,3567,02040206000148,9484462,-75.25578179332612,39.47070167165741
27,3570,02040206001807,9485398,-75.0750607265956,39.48956560553007
28,3559,02040206000186,9481056,-75.37055639353734,39.562609671762836
29,3565,02040206000275,9482268,-75.47533352643173,39.578745271511636
30,4190,02040206002344,24903500,-75.47533352643173,39.578745271511636
31,3558,02040206000727,9480994,-75.47336052703906,39.57883900544883
32,3561,02040206001685,9481750,-75.0784815940955,39.58228427156301
33,3562,02040206000078,9481756,-75.0784815940955,39.58228427156301
34,3564,02040206030305,9482216,-75.47347399378926,39.58774680550276
35,3560,02040206000081,9481686,-75.07644099374292,39.62325087201039
36,3557,02040206000219,9480708,-75.33105859297004,39.64652740512868
37,3566,02040206001818,9482588,-75.48342292642458,39.65275280522659
38,3563,02040206001794,9482016,-75.47107359325133,39.65906040481314
39,4182,02040205001359,24902758,-75.50440032645676,39.71264127157104
40,4187,02040204028877,24903456,-75.50440032645676,39.71264127157104
41,1826,02040202000048,4496396,-75.11338552737902,39.736822871739555
42,1808,02040202000011,4495818,-75.26500739338884,39.742378471193895
43,2048,02040205000105,4655446,-75.62126532619409,39.69745740458278
44,2041,02040205000146,4652180,-75.62126532619409,39.69745740458278
45,2033,02040205000118,4651938,-75.65268179363989,39.70699360484104
46,2024,02040205000106,4651348,-75.64616339296043,39.70752140504459
47,2025,02040205000117,4651352,-75.64616339296043,39.70752140504459
48,2031,02040205000107,4651930,-75.64228339280034,39.71280887170253
49,2023,02040205000127,4651292,-75.76070632660684,39.72984980543594
50,2047,02040205000943,4655444,-75.53271992631383,39.73171620505191
51,2040,02040205000100,4652144,-75.53271992631383,39.73171620505191
52,4206,02040202002996,25015872,-75.39383132730308,39.810172404864396
53,1830,02040202000004,4499332,-75.39383132730308,39.810172404864396
54,1822,02040202001990,4496278,-75.35482059341972,39.837314404395705
55,1825,02040202000207,4496280,-75.35482059341972,39.837314404395705
56,1809,02040202000207,4495846,-75.35901859313508,39.84323180519993
57,1819,02040202000027,4496242,-75.32758572736729,39.84722000465461
58,1829,02040202000173,4499322,-75.32758572736729,39.84722000465461
59,1807,02040202000193,4495710,-75.34509059304888,39.85169687110626
60,1828,02040202000030,4499318,-75.22874372652778,39.85187427135657
61,2686,02040207000133,8074660,-75.5147455261996,39.14843047253133
62,2687,02040207000135,8075214,-75.54360192681352,39.1825796060474
63,2700,02040207000166,8080218,-75.52414459376176,39.36011320558791
64,2043,02040205000006,4653422,-75.66395639296353,39.37228880546515
65,2042,02040205000161,4653396,-75.71107159288985,39.43781020590253
66,4184,02040205001380,24902854,-75.58076852592079,39.43829047200236
67,4183,02040205001379,24902842,-75.57953592662314,39.44865707217283
68,4195,02040204028890,24903632,-75.54800599333224,39.449627672245974
69,4185,02040205001382,24902860,-75.54800599333224,39.449627672245974
70,3571,02040206001847,9485784,-75.51317792660276,39.49917067193865
71,4193,02040204028882,24903566,-75.55228039315189,39.50666667243154
72,4194,02040204028883,24903606,-75.55228039315189,39.50666667243154
73,4192,02040206002354,24903548,-75.52971539346025,39.57331280558819
74,4191,02040206002352,24903534,-75.52971539346025,39.57331280558819
75,2036,02040205000155,4651956,-75.69716339328424,39.631244204835816
76,2027,02040205000154,4651470,-75.67648272673628,39.641416871559805
77,2035,02040205000150,4651950,-75.65091619298839,39.66483840519165
78,4186,02040204028876,24903444,-75.51921379328947,39.68753927145149
79,2034,02040205000123,4651944,-75.74802932573535,39.68985580495189
80,2032,02040205000124,4651934,-75.75339312621543,39.69022827213997
81,2026,02040205000122,4651394,-75.71992239307765,39.69327007181728
82,2022,02040205000128,4651270,-75.76149599244592,39.73660167173666
83,2030,02040205000108,4651912,-75.63342832674743,39.74363720525329
84,2021,02040205000129,4651254,-75.77265932665136,39.74491880507667
85,2029,02040205000836,4651906,-75.5136533260679,39.746609871404374
86,2046,02040205000021,4655440,-75.56839379355236,39.770451604686706
87,2039,02040205000021,4652094,-75.570516393091,39.78177560505461
88,2045,02040205000923,4655358,-75.57533519365913,39.79666400476063
89,2020,02040205000111,4651124,-75.64841459321582,39.79846607178365
90,2019,02040205000112,4651090,-75.67192052590559,39.808917004509105
91,2044,02040205000946,4655354,-75.57741532653885,39.83450107146555
92,2038,02040205001390,4652052,-75.59965552647844,39.85883947188205
93,2037,02040205000948,4652046,-75.59326379315954,39.86934780440033
94,1818,02040202000030,4496230,-75.23492212700947,39.8570228716421
95,1817,02040202000053,4496128,-75.23492212700947,39.8570228716421
96,1801,02040202000208,4494820,-75.4093557933935,39.86938487099979
97,2339,02040203000001,4784843,-75.19598192731925,39.87671240521702
98,1816,02040202000059,4496020,-75.19598192731925,39.87671240521702
99,1794,02040202001897,4492036,-74.50541899486252,39.884918071181076
100,1802,02040202000072,4494832,-75.02312292700158,39.8958950048821
101,1815,02040202000070,4495892,-75.0215083269288,39.90282787100736
102,1806,02040202000159,4495682,-75.25467032720745,39.905512471429844
103,1805,02040202001354,4495680,-75.25467032720745,39.905512471429844
104,1800,02040202000070,4494690,-75.02637692710063,39.906081804616655
105,1799,02040202000195,4494628,-75.40397199337697,39.917239204318655
106,1790,02040202000098,4490920,-74.75238832819163,39.93901347112488
107,1789,02040202000271,4490878,-74.58431559456261,39.94003347100391
108,1804,02040202001663,4495672,-75.00426579422323,39.941579404726575
109,1795,02040202000097,4492122,-74.79664532806389,39.94896100511021
110,1788,02040202000134,4490670,-74.63596012845636,39.96061340475676
111,1793,02040202000266,4491946,-74.63596012845636,39.96061340475676
112,1814,02040202000066,4495870,-75.12713832724933,39.96150280434043
113,1811,02040202000077,4495868,-75.12713832724933,39.96150280434043
114,1803,02040202001355,4495656,-75.26036439339438,39.9664390043998
115,2338,02040203000001,4784831,-75.18572139367124,39.96684040459787
116,1798,02040202000186,4494460,-75.4319575934874,39.971533871064885
117,1792,02040202000131,4491898,-74.69262772723943,39.97530887156245
118,1787,02040202000126,4490494,-74.78678099463414,39.98950600423463
119,1810,02040202000084,4495858,-75.06091352761598,39.99000527111513
120,1827,02040202000079,4499292,-75.06091352761598,39.99000527111513
121,1796,02040202011429,4492216,-74.86093439377645,39.99647947149783
