,cannonsville_gages,cannonsville_hru,pepacton_gages,pepacton_hru
1981-02-15,820.3120808764614,1052.0980178549255,592.936261099961,918.6460457169468
1981-02-16,1074.1323635946933,1219.8849435892434,600.1900453966248,946.1770781401146
1981-02-17,1874.2380623051934,1949.74286725415,725.1980731710332,1151.662613998525
1981-02-18,1697.7826785483635,2290.343820722021,688.5500830251698,1270.9750629405928
1981-02-19,1508.2640722559313,1990.082287794741,675.5285866669406,1204.5692372644737
1981-02-20,1882.0312469421708,2166.199064263221,1271.3987646088676,1592.6045012802383
1981-02-21,2569.9989633015084,2929.331262292888,2361.372228344557,2824.9488755158195
1981-02-22,1793.854272931561,2779.1601010236413,1364.057545260077,3123.937025313252
1981-02-23,1191.4198330620034,1783.3610811445285,779.8230585283408,1737.846076135657
1981-02-24,1337.936336917822,1593.924748696278,1126.182909883581,1494.14847430377
1981-02-25,1117.8619620817337,1572.425560165693,735.5372597616926,1523.267606418432
1981-02-26,882.8080670850125,1193.8882826102697,577.0397783589694,1032.5823562925882
1981-02-27,802.8016575041834,1035.6461287263796,528.2388097614469,867.3051945448628
1981-02-28,736.2142277880657,946.2844557386104,485.90011508321106,785.3560472819158
1981-03-01,709.0373303928542,896.5161617253948,447.0111180659104,729.8914545094038
1981-03-02,628.4443553941211,817.7068427411697,413.8530034223004,665.2051694352078
1981-03-03,579.1560209028376,740.2155620820525,385.9324288786891,609.6855071816158
1981-03-04,539.0328891022734,686.6723261472849,361.84801716837325,568.1751106550763
1981-03-05,503.7014579795551,640.982053441824,340.7433757298735,532.4739921097627
1981-03-06,472.30860916154813,600.4126902040865,322.00650501353357,501.2622986101587
1981-03-07,444.0994597874825,564.0412703532469,305.18863411381005,473.6544213810137
1981-03-08,418.86548498713427,531.9950138581327,289.9546197744498,449.4110685367744
1981-03-09,408.8932121278893,513.01482015839,277.35280138315574,431.7771579676221
1981-03-10,405.6193578585578,504.5764478322139,267.2412325200574,416.4573884934601
1981-03-11,387.4019723798527,492.8269243359612,256.7018717187561,400.5057006687084
1981-03-12,375.8860898356543,474.69080061234496,246.34936401391892,387.1131657920908
1981-03-13,435.7014576118798,498.7499310521112,245.1238954746559,383.22023474596097
1981-03-14,412.2669180469794,523.4182577643138,233.46827806702174,383.758779556639
1981-03-15,379.57756460944086,475.48623113992426,220.0408464570944,366.4537079518738
1981-03-16,360.1839269677856,447.9109380020201,214.12756491860023,345.7828890725801
1981-03-17,342.87079563282475,426.6997597016402,206.18420524458264,334.3347486962792
1981-03-18,326.53214583680347,406.5651187498836,197.82008154943853,321.2928478329719
1981-03-19,311.184257297826,387.6055958295721,190.17797185819597,308.73207514014774
1981-03-20,296.75226377629065,369.7662792518349,182.93443665863333,296.963360166427
1981-03-21,283.159693989966,352.95655684042487,176.04663536589877,285.7949262053116
1981-03-22,270.83425111893723,337.4548529488261,169.48845953309507,275.6069735853479
1981-03-23,258.46386582151746,322.9981674120232,164.73040927665522,266.2968979223744
1981-03-24,246.96370209342874,309.13156556629315,158.82559181089334,257.5145583037351
1981-03-25,240.34088446309184,298.360689076758,153.07059311694906,248.79878727343592
1981-03-26,226.6128568451323,285.741276854116,147.55996401254646,239.70717492437504
1981-03-27,219.88152748479445,273.4798754305737,142.76765312264092,231.52298612351424
1981-03-28,234.13210989196244,276.37822245683685,142.53303459853947,228.83546921303403
1981-03-29,207.19012873037252,268.8090682401601,133.47685153149513,221.74647668955788
1981-03-30,190.22669698298188,241.04122915873708,128.02225715270362,209.4910910939989
1981-03-31,294.18573157686376,298.9399837255133,158.96972389941442,239.99982030073127
1981-04-01,200.70886488851016,291.4893117340689,129.5826581476901,243.62132902266904
1981-04-02,360.2569785969791,332.7842429986743,431.9551734676083,395.9593915315105
1981-04-03,248.39379261123614,372.0176190474845,181.1907390556524,483.2462153098426
1981-04-04,175.64669930003703,236.10608056952825,133.24740748238548,265.18310188830685
1981-04-05,164.7365428324198,207.49085787558133,126.40911287897401,224.98632550501236
1981-04-06,239.66412847000007,240.05909099938668,274.6630297699335,298.3357381836468
1981-04-07,188.09489464796494,261.1276645905224,149.85205857727982,341.2897559099496
1981-04-08,148.56724290876,193.99498882583376,122.10832657047317,230.48475283372247
1981-04-09,153.82451874607415,185.07233248498665,127.08121523464015,209.41268808995383
1981-04-10,189.7464927598499,208.1306461126149,192.71211104288562,245.2781669453825
1981-04-11,149.4791401126469,205.00687319119945,130.66543198683948,263.1249194809876
1981-04-12,128.02865205181502,163.27218490101268,112.07542205476668,202.66087779393675
1981-04-13,120.79339601223924,152.85607460827143,111.55500608964657,186.91065117253487
1981-04-14,134.9620146122618,153.71949385407544,135.06155437585647,195.98117853761485
1981-04-15,204.04690483726952,200.79216438205304,303.25641180314665,313.5557238093902
1981-04-16,151.08905026245964,214.84736736606695,140.32134441013207,355.4359063786557
1981-04-17,126.19821989285762,154.59066464216613,115.10755160319145,218.91528997242008
1981-04-18,134.76030685858473,158.2260689405441,113.56614854366629,200.46462720339352
1981-04-19,111.54589451411752,147.2713152169939,100.05657869223704,188.6379827647972
1981-04-20,98.81493768426233,124.18035832604627,93.63179768120544,170.81631919048658
1981-04-21,94.61503761233045,116.94516145854904,89.5903154401276,161.5940253060042
1981-04-22,91.04149094191591,112.39489765410306,85.9442490728505,154.4434938208625
1981-04-23,87.62505600199712,108.5164736292248,82.579456564464,147.97282979394166
1981-04-24,169.3360636939825,153.7127679611498,187.59109062751477,212.04854777588213
1981-04-25,157.15906261119406,206.08757230934555,109.20189340081387,249.1970350859323
1981-04-26,110.22947047727668,155.71939176404803,85.86746497989135,176.8318513134228
1981-04-27,88.35094053784763,119.6616924115324,78.62612746830764,152.12748880539868
